专业代码,专业名称,大类名称,门类名称
010101,哲学,哲学类,哲学
010102,逻辑学,哲学类,哲学
010103K,宗教学,哲学类,哲学
010104T,伦理学,哲学类,哲学
020101,经济学,经济学类,经济学
020102,经济统计学,经济学类,经济学
020103T,国民经济管理,经济学类,经济学
020104T,资源与环境经济学,经济学类,经济学
020105T,商务经济学,经济学类,经济学
020106T,能源经济,经济学类,经济学
020201K,财政学,财政学类,经济学
020202,税收学,财政学类,经济学
020301K,金融学,金融学类,经济学
020302,金融工程,金融学类,经济学
020303,保险学,金融学类,经济学
020304,投资学,金融学类,经济学
020305T,金融数学,金融学类,经济学
020306T,信用管理,金融学类,经济学
020307T,经济与金融,金融学类,经济学
020401,国际经济与贸易,经济与贸易类,经济学
020402,贸易经济,经济与贸易类,经济学
030101K,法学,法学类,法学
030102T,知识产权,法学类,法学
030103T,监狱学,法学类,法学
030201,政治学与行政学,政治学类,法学
030202,国际政治,政治学类,法学
030203,外交学,政治学类,法学
030204T,国际事务与国际关系,政治学类,法学
030205T,政治学、经济学与哲学,政治学类,法学
030301,社会学,社会学类,法学
030302,社会工作,社会学类,法学
030303T,人类学,社会学类,法学
030304T,女性学,社会学类,法学
030305T,家政学,社会学类,法学
030401,民族学,民族学类,法学
030501,科学社会主义,马克思主义理论类,法学
030502,中国共产党历史,马克思主义理论类,法学
030503,思想政治教育,马克思主义理论类,法学
030601K,治安学,公安学类,法学
030602K,侦查学,公安学类,法学
030603K,边防管理,公安学类,法学
030604TK,禁毒学,公安学类,法学
030605TK,警犬技术,公安学类,法学
030606TK,经济犯罪侦查,公安学类,法学
030607TK,边防指挥,公安学类,法学
030608TK,消防指挥,公安学类,法学
030609TK,警卫学,公安学类,法学
030610TK,公安情报学,公安学类,法学
030611TK,犯罪学,公安学类,法学
030612TK,公安管理学,公安学类,法学
030613TK,涉外警务,公安学类,法学
030614TK,国内安全保卫,公安学类,法学
030615TK,警务指挥与战术,公安学类,法学
040101,教育学,教育学类,教育学
040102,科学教育,教育学类,教育学
040103,人文教育,教育学类,教育学
040104,教育技术学,教育学类,教育学
040105,艺术教育,教育学类,教育学
040106,学前教育,教育学类,教育学
040107,小学教育,教育学类,教育学
040108,特殊教育,教育学类,教育学
040109T,华文教育,教育学类,教育学
040201,体育教育,体育学类,教育学
040202K,运动训练,体育学类,教育学
040203,社会体育指导与管理,体育学类,教育学
040204K,武术与民族传统体育,体育学类,教育学
040205,运动人体科学,体育学类,教育学
040206T,运动康复,体育学类,教育学
040207T,休闲体育,体育学类,教育学
050101,汉语言文学,中国语言文学类,文学
050102,汉语言,中国语言文学类,文学
050103,汉语国际教育,中国语言文学类,文学
050104,中国少数民族语言文学,中国语言文学类,文学
050105,古典文献学,中国语言文学类,文学
050106T,应用语言学,中国语言文学类,文学
050107T,秘书学,中国语言文学类,文学
050201,英语,外国语言文学类,文学
050202,俄语,外国语言文学类,文学
050203,德语,外国语言文学类,文学
050204,法语,外国语言文学类,文学
050205,西班牙语,外国语言文学类,文学
050206,阿拉伯语,外国语言文学类,文学
050207,日语,外国语言文学类,文学
050208,波斯语,外国语言文学类,文学
050209,朝鲜语,外国语言文学类,文学
050210,菲律宾语,外国语言文学类,文学
050211,梵语巴利语,外国语言文学类,文学
050212,印度尼西亚语,外国语言文学类,文学
050213,印地语,外国语言文学类,文学
050214,柬埔寨语,外国语言文学类,文学
050215,老挝语,外国语言文学类,文学
050216,缅甸语,外国语言文学类,文学
050217,马来语,外国语言文学类,文学
050218,蒙古语,外国语言文学类,文学
050219,僧伽罗语,外国语言文学类,文学
050220,泰语,外国语言文学类,文学
050221,乌尔都语,外国语言文学类,文学
050222,希伯来语,外国语言文学类,文学
050223,越南语,外国语言文学类,文学
050224,豪萨语,外国语言文学类,文学
050225,斯瓦希里语,外国语言文学类,文学
050226,阿尔巴尼亚语,外国语言文学类,文学
050227,保加利亚语,外国语言文学类,文学
050228,波兰语,外国语言文学类,文学
050229,捷克语,外国语言文学类,文学
050230,斯洛伐克语,外国语言文学类,文学
050231,罗马尼亚语,外国语言文学类,文学
050232,葡萄牙语,外国语言文学类,文学
050233,瑞典语,外国语言文学类,文学
050234,塞尔维亚语,外国语言文学类,文学
050235,土耳其语,外国语言文学类,文学
050236,希腊语,外国语言文学类,文学
050237,匈牙利语,外国语言文学类,文学
050238,意大利语,外国语言文学类,文学
050239,泰米尔语,外国语言文学类,文学
050240,普什图语,外国语言文学类,文学
050241,世界语,外国语言文学类,文学
050242,孟加拉语,外国语言文学类,文学
050243,尼泊尔语,外国语言文学类,文学
050244,克罗地亚语,外国语言文学类,文学
050245,荷兰语,外国语言文学类,文学
050246,芬兰语,外国语言文学类,文学
050247,乌克兰语,外国语言文学类,文学
050248,挪威语,外国语言文学类,文学
050249,丹麦语,外国语言文学类,文学
050250,冰岛语,外国语言文学类,文学
050251,爱尔兰语,外国语言文学类,文学
050252,拉脱维亚语,外国语言文学类,文学
050253,立陶宛语,外国语言文学类,文学
050254,斯洛文尼亚语,外国语言文学类,文学
050255,爱沙尼亚语,外国语言文学类,文学
050256,马耳他语,外国语言文学类,文学
050257,哈萨克语,外国语言文学类,文学
050258,乌兹别克语,外国语言文学类,文学
050259,祖鲁语,外国语言文学类,文学
050260,拉丁语,外国语言文学类,文学
050261,翻译,外国语言文学类,文学
050262,商务英语,外国语言文学类,文学
050301,新闻学,新闻传播学类,文学
050302,广播电视学,新闻传播学类,文学
050303,广告学,新闻传播学类,文学
050304,传播学,新闻传播学类,文学
050305,编辑出版学,新闻传播学类,文学
050306T,网络与新媒体,新闻传播学类,文学
050307T,数字出版,新闻传播学类,文学
060101,历史学,历史学类,历史学
060102,世界史,历史学类,历史学
060103,考古学,历史学类,历史学
060104,文物与博物馆学,历史学类,历史学
060105T,文物保护技术,历史学类,历史学
060106T,外国语言与外国历史,历史学类,历史学
070101,数学与应用数学,数学类,理学
070102,信息与计算科学,数学类,理学
070103T,数理基础科学,数学类,理学
070201,物理学,物理学类,理学
070202,应用物理学,物理学类,理学
070203,核物理,物理学类,理学
070204T,声学,物理学类,理学
070301,化学,化学类,理学
070302,应用化学,化学类,理学
070303T,化学生物学,化学类,理学
070304T,分子科学与工程,化学类,理学
070401,天文学,天文学类,理学
070501,地理科学,地理科学类,理学
070502,自然地理与资源环境,地理科学类,理学
070503,人文地理与城乡规划,地理科学类,理学
070504,地理信息科学,地理科学类,理学
070601,大气科学,大气科学类,理学
070602,应用气象学,大气科学类,理学
070701,海洋科学,海洋科学类,理学
070702,海洋技术(注：可授理学或工学学士学位),海洋科学类,理学
070703T,海洋资源与环境,海洋科学类,理学
070704T,军事海洋学,海洋科学类,理学
070801,地球物理学,地球物理学类,理学
070802,空间科学与技术,地球物理学类,理学
070901,地质学,地质学类,理学
070902,地球化学,地质学类,理学
070903T,地球信息科学与技术,地质学类,理学
070904T,古生物学,地质学类,理学
071001,生物科学,生物科学类,理学
071002,生物技术,生物科学类,理学
071003,生物信息学,生物科学类,理学
071004,生态学,生物科学类,理学
071101,心理学,心理学类,理学
071102,应用心理学,心理学类,理学
071201,统计学,统计学类,理学
071202,应用统计学,统计学类,理学
080101,理论与应用力学,力学类,工学
080102,工程力学,力学类,工学
080201,机械工程,机械类,工学
080202,机械设计制造及其自动化,机械类,工学
080203,材料成型及控制工程,机械类,工学
080204,机械电子工程,机械类,工学
080205,工业设计,机械类,工学
080206,过程装备与控制工程,机械类,工学
080207,车辆工程,机械类,工学
080208,汽车服务工程,机械类,工学
080209T,机械工艺技术,机械类,工学
080210T,微机电系统工程,机械类,工学
080211T,机电技术教育,机械类,工学
080212T,汽车维修工程教育,机械类,工学
080301,测控技术与仪器,仪器类,工学
080401,材料科学与工程,材料类,工学
080402,材料物理,材料类,工学
080403,材料化学,材料类,工学
080404,冶金工程,材料类,工学
080405,金属材料工程,材料类,工学
080406,无机非金属材料工程,材料类,工学
080407,高分子材料与工程,材料类,工学
080408,复合材料与工程,材料类,工学
080409T,粉体材料科学与工程,材料类,工学
080410T,宝石及材料工艺学,材料类,工学
080411T,焊接技术与工程,材料类,工学
080412T,功能材料,材料类,工学
080413T,纳米材料与技术,材料类,工学
080414T,新能源材料与器件,材料类,工学
080501,能源与动力工程,能源动力类,工学
080502T,能源与环境系统工程,能源动力类,工学
080503T,新能源科学与工程,能源动力类,工学
080601,电气工程及其自动化,电气类,工学
080602T,智能电网信息工程,电气类,工学
080603T,光源与照明,电气类,工学
080604T,电气工程与智能控制,电气类,工学
080701,电子信息工程,电子信息类,工学
080702,电子科学与技术,电子信息类,工学
080703,通信工程,电子信息类,工学
080704,微电子科学与工程,电子信息类,工学
080705,光电信息科学与工程,电子信息类,工学
080706,信息工程,电子信息类,工学
080707T,广播电视工程,电子信息类,工学
080708T,水声工程,电子信息类,工学
080709T,电子封装技术,电子信息类,工学
080710T,集成电路设计与集成系统,电子信息类,工学
080711T,医学信息工程,电子信息类,工学
080712T,电磁场与无线技术,电子信息类,工学
080713T,电波传播与天线,电子信息类,工学
080714T,电子信息科学与技术(注：可授工学或理学学士学位),电子信息类,工学
080715T,电信工程及管理,电子信息类,工学
080716T,应用电子技术教育,电子信息类,工学
080801,自动化,自动化类,工学
080802T,轨道交通信号与控制,自动化类,工学
080901,计算机科学与技术,计算机类,工学
080902,软件工程,计算机类,工学
080903,网络工程,计算机类,工学
080904K,信息安全,计算机类,工学
080905,物联网工程,计算机类,工学
080906,数字媒体技术,计算机类,工学
080907T,智能科学与技术,计算机类,工学
080908T,空间信息与数字技术,计算机类,工学
080909T,电子与计算机工程,计算机类,工学
081001,土木工程,土木类,工学
